,Review,Rating,cleaned_reviews
10,"Not Verified| This airline is the worst ever I have experienced, I boarded the plane from Lagos to London and the organisation was the worst I have ever seen, customers were treated as animals, with little or no regards for us. My luggages were misplaced, they promised that it will be sent to our location which they did not. I had to call to ask for my bags, the response I got was that they can’t find my name in the boarding list for the day I travelled, I thought it was dream. I was so frustrated, I had to leave work and go to the airport to get my bag, only to see that my bag was with them, the lock was broken, my bag was torn and there was no form of apology from the staff on that. I will advise people to never use this airline or any service related to Royal Air Maroc.",4/10,airline worst ever experienced boarded plane lagos london organisation worst ever seen customers treated animals little regards us luggages misplaced promised sent location call ask bags response got cant find name boarding list day travelled thought dream frustrated leave work go airport get bag see bag lock broken bag torn form apology staff advise people never use airline service related royal air maroc
11,✅Trip Verified|  It has been 5 days since I travel with this terrible airline and my 2 luggage aren’t still found. The customer service is not helpful in the process and I am completely hopeless to find it.,1/10,days since travel terrible airline luggage arent still found customer service helpful process completely hopeless find
12,"Not Verified|  My flight got cancelled on the first day for no reason after checking in & waiting to board at the boarding gate for hours! We were then checked out, stressed out & told to return the following day, same time for the next flight… the following day we were given one boarding pass for a connecting flight that was meant to have 2 boarding passes. London to Casablanca & then Casablanca to Lagos… We arrived in Casablanca but unfortunately we are told there's no flights connecting to Lagos, nobody explained anything to us, we were stranded at the airport and had to sleep at the airport until the following night..... spending 3 days in transit for a journey that was meant to last for a day! They clearly knew what they were doing… they were trying to save costs at our expense…they probably didn’t wanna lodge us in a hotel for another day in London & also in Casablanca. 3 family members have had stressful and exhausting experiences using this airline! I thought mine was gonna be different but clearly not! Nobody in my family is flying this airline anymore never again.",1/10,flight got cancelled first day reason checking waiting board boarding gate hours checked stressed told return following day time next flight following day given one boarding pass connecting flight meant boarding passes london casablanca casablanca lagos arrived casablanca unfortunately told theres flights connecting lagos nobody explained anything us stranded airport sleep airport following night spending days transit journey meant last day clearly knew trying save costs expensethey probably didnt wanna lodge us hotel another day london also casablanca family members stressful exhausting experiences using airline thought mine gonna different clearly nobody family flying airline anymore never
13,"✅Trip Verified|   Cabin staff not very pleasant to me. On arrival at Dulles, Washington, both of my 2 suitcases did not arrive, one containing my clothes and the other full of valuable sentimental belongings for my daughter. Extremely distraught as it has now been over two weeks and no effort is being made to locate them, phoning everyday to no avail, 15 email's all unanswered, no customer service return calls updating situation and 5 separate claims made. I have been without clothes or personal items and still have 3 weeks of stay left.. I am absolutely furious and seems there is nothing else I can do,",1/10,cabin staff pleasant arrival dulles washington suitcases arrive one containing clothes full valuable sentimental belongings daughter extremely distraught two weeks effort made locate phoning everyday avail emails unanswered customer service return calls updating situation separate claims made without clothes personal items still weeks stay left absolutely furious seems nothing else
14,"✅Trip Verified|  On 24th October, 2023 I checked in my baggage with Royal Air Maroc flight number AT911 (IST - CMN) and AT555 (CMN - LOS) but I was unable to board because I was delayed by the immigration. On getting to Lagos on 2nd November with same airline, my luggage never arrived my final destination. I have since filed a report but the airline has been sluggish about my case.  It has really been heartbreaking as the customer service has been very poor. None of the emails I sent delivered. What do I do to get my bag? I'm fed up.",1/10,th october checked baggage royal air maroc flight number ist cmn cmn los unable board delayed immigration getting lagos nd november airline luggage never arrived final destination since filed report airline sluggish case really heartbreaking customer service poor none emails sent delivered get bag im fed
15,"✅Trip Verified|  All was ok, but staff cabin crew need to do better with economy passengers. I didn’t appreciate the tone of One of the staff from the Nigeria flight. I just needed water for my baby and I kept saying excuse me, didn’t know he heard me but just didn’t want to answer yet, by the time he answered, the tone sounded like I was disturbing him. I feel staff should use soft tones for passengers. The other connecting flight from Casablanca to London, after I left the flight, I noticed that my child’s seat belt still hung on to me, so I needed to return it. I kept saying excuse me to one of the lady cabin crew who was also chatting with someone else, she didn’t answer, I kept saying excuse me, then she said I will get to you in such a diminishing tone, without eye contact after severally trying to get her attention. Then I had to say and show your belt, that was when she gave me audience with smiles. Kindness and patience should be key for staff and passengers too.",2/10,ok staff cabin crew need better economy passengers didnt appreciate tone one staff nigeria flight needed water baby kept saying excuse didnt know heard didnt want answer yet time answered tone sounded like disturbing feel staff use soft tones passengers connecting flight casablanca london left flight noticed childs seat belt still hung needed return kept saying excuse one lady cabin crew also chatting someone else didnt answer kept saying excuse said get diminishing tone without eye contact severally trying get attention say show belt gave audience smiles kindness patience key staff passengers
16,"Not Verified|  I was flying from Casablanca to Washington after a long 10 day trip. The flight was delayed for nearly 4 hours, but there was minimal communication as to why or when the flight would actually take off. The website stated the flight left with only a short delay and the internal screens updated with the next flight, but we had not even boarded yet. When we were finally allowed to pass through the gate, we boarded busses where we sat for at least another hour. On the flight, they refused alcohol service even after the long wait. The food was awful. The attendants weren't friendly. The worst experience I have had, I will never fly them again",6/10,flying casablanca washington long day trip flight delayed nearly hours minimal communication flight would actually take website stated flight left short delay internal screens updated next flight even boarded yet finally allowed pass gate boarded busses sat least another hour flight refused alcohol service even long wait food awful attendants werent friendly worst experience never fly
17,"Not Verified| Dear Royal Air Maroc, I am writing to formally complain about the extremely high ticket change fees, terrible flight service, and overall awful experience my partner and I encountered regarding relocating after the major earthquake in Morocco. We have previously asked for a refund by following the directions on your website; thus far, no one from Royal Air Maroc has not responded to our requests. As you know, on Friday, September 8th, at 11:11 pm local time, a massive 6.8 earthquake struck Marrakech, where we were vacationing. This powerful quake caused extensive damage across the region. For safety reasons, we had to relocate from Marrakech to Casablanca on Sunday, September 10th, to catch an earlier flight home. We were initially scheduled to fly Royal Air Maroc from Marrakech to New York on September 14th, flight number AT0202. Due to the earthquake, I contacted your team to change our flight to depart Casablanca on September 10th instead. While I appreciate accommodating this change, I was utterly shocked to be charged an exorbitant $2,321.09 change fee. Given that this unforeseen natural disaster forced us to alter plans, such excessive fees seem highly unethical. I request an immediate refund of the full $2,321.09. Customers should not pay penalties for ensuring safety after a devastating earthquake. Adding to our misery, the service on flight AT0202 on September 10th from Casablanca to New York was abysmal. The plane's bathroom sink was clogged, we could not wash our hands, and the bathroom floor was filthy wet, and slippery. The staff were completely absent and unhelpful, ignoring passenger requests. In summary, between the egregious fees and terrible flight service, this was an awful travel experience. I hope Royal Air Marco will refund the $2,321.09 in change fees and address the cleanliness and service issues on AT0202.",1/10,dear royal air maroc writing formally complain extremely high ticket change fees terrible flight service overall awful experience partner encountered regarding relocating major earthquake morocco previously asked refund following directions website thus far one royal air maroc responded requests know friday september th pm local time massive earthquake struck marrakech vacationing powerful quake caused extensive damage across region safety reasons relocate marrakech casablanca sunday september th catch earlier flight home initially scheduled fly royal air maroc marrakech new york september th flight number due earthquake contacted team change flight depart casablanca september th instead appreciate accommodating change utterly shocked charged exorbitant change fee given unforeseen natural disaster forced us alter plans excessive fees seem highly unethical request immediate refund full customers pay penalties ensuring safety devastating earthquake adding misery service flight september th casablanca new york abysmal planes bathroom sink clogged could wash hands bathroom floor filthy wet slippery staff completely absent unhelpful ignoring passenger requests summary egregious fees terrible flight service awful travel experience hope royal air marco refund change fees address cleanliness service issues
18,✅Trip Verified|  They canceled my fully refundable ticket because on the pandemic on April 2020 and have been refusing to give me my money back for 3 years and 5 months! Shame on you royal air Maroc.,1/10,canceled fully refundable ticket pandemic april refusing give money back years months shame royal air maroc
19,"✅Trip Verified|  My worst flight experience I have ever had in my life since I have been travelling is with Royal Air Maroc. We received the worst service ever. From London to Douala, we did nor receive any of our suit cases. We received them after 5 days. From Douala to London Heathrow, we did not receive our suit cases on  the day of travel. We received the 1st 6 bags after two weeks with the goods completely bad. I received a call from the Airline asking me to come to London Airport and collect a bag. Royal Air Maroc caused the luggage delay, as a result, things went bad and they asked me to take a day off work and pay train ticket to come and collect a rotten bag.",1/10,worst flight experience ever life since travelling royal air maroc received worst service ever london douala receive suit cases received days douala london heathrow receive suit cases day travel received st bags two weeks goods completely bad received call airline asking come london airport collect bag royal air maroc caused luggage delay result things went bad asked take day work pay train ticket come collect rotten bag
20,"✅Trip Verified|  I had the worst experience. I booked my flight in June 2019. Due to covid 19 pandemic, they cancelled my flight and issued a travel voucher claiming that in case of non-use within 1 year, I will receive a refund equivalent to the amount of my ticket (USD 590) upon request. When the time was due, i requested a refund in and within the following 2 years, i've been sending numerous reminders, trying to contact them by phone without any reply.  On March 2, 2022, I received an email from them asking for a copy of my IBAN to issue a refund. I sent all the required documents and to the present day (September 4, 2023), I have not received a single reply from them. I kept calling the customer service who always claim that there is nothing they can do except raising the issue to another department. I asked for an alternative and they stated that the department responsible for handling my case is located in their Head Office in Morocco and they have no way for me to contact them.",4/10,worst experience booked flight june due covid pandemic cancelled flight issued travel voucher claiming case nonuse within year receive refund equivalent amount ticket usd upon request time due requested refund within following years ive sending numerous reminders trying contact phone without reply march received email asking copy iban issue refund sent required documents present day september received single reply kept calling customer service always claim nothing except raising issue another department asked alternative stated department responsible handling case located head office morocco way contact
21,"✅Trip Verified|  The flight was a red eye which are always stressful on passengers and crew the seats on the RAM 787 in business class are the best I have experienced. I am 192 cm and can lie easily flat. The cabin crew were below average, catering was disappointing though the portions were generous but never reflective to the rich Moroccan heritage except for the Moroccan tea. IFE was awful with a very poor selection of movies, TV and games.",1/10,flight red eye always stressful passengers crew seats ram business class best experienced cm lie easily flat cabin crew average catering disappointing though portions generous never reflective rich moroccan heritage except moroccan tea ife awful poor selection movies tv games
22,"✅Trip Verified| I will never use this airline again - the aircraft that they fly to most of their African destinations are fantastically old, filthy and their cabins are terribly maintained. They have a quick turnaround when they arrive at the airport - which means they are punctual. However, experience of my last flight made me realise that they aren't cleaned properly after the passengers have embarked off. So the seats have disgusting left overs, the floor has empty bottles of waters and cans of beer, which makes the already old aircraft so unappealing to sit in. As for the pilots - I am not sure how they are trained. I am a pilot myself, so I can tell when the landing is so so bumpy - when it shouldn't be - since they are coming in at a higher speed than they should be. This leads to an outrageous breaking that makes the whole landing experience so traumatic. The captain who did OK to make us arrive 16.30 on 24th June 2023, was simply awful at the landing. He broke so so hard and inconsistently making passengers unnecessarily uncomfortable, worried and traumatised. I will never fly them again.",6/10,never use airline aircraft fly african destinations fantastically old filthy cabins terribly maintained quick turnaround arrive airport means punctual however experience last flight made realise arent cleaned properly passengers embarked seats disgusting left overs floor empty bottles waters cans beer makes already old aircraft unappealing sit pilots sure trained pilot tell landing bumpy shouldnt since coming higher speed leads outrageous breaking makes whole landing experience traumatic captain ok make us arrive th june simply awful landing broke hard inconsistently making passengers unnecessarily uncomfortable worried traumatised never fly
23,"✅Trip Verified|  We had to make a name correction for the booking due to a well-documented marriage/legal name change process. Royal Air Maroc made us cancel and re-book the flight. Besides losing most of the money for the original ticket, we had to pay several hundred dollars extra for the new flight. This is a poor, inflexible policy and it should be revised. I am writing this complaint before the flight because it is specifically a complaint about customer service and airline policies.",1/10,make name correction booking due welldocumented marriagelegal name change process royal air maroc made us cancel rebook flight besides losing money original ticket pay several hundred dollars extra new flight poor inflexible policy revised writing complaint flight specifically complaint customer service airline policies
24,"✅Trip Verified| The toilets were often in a disgusting state. Flight attendant opened the bathroom whilst it was locked before take-off, and without even knocking. The food options are not great, especially non-meat options. No entertainment options or charging outlets on the  plane. No warning of certain scheduled routes (e.g., the Guinea-Bissau stop in the Casablanca-Praia route).",3/10,toilets often disgusting state flight attendant opened bathroom whilst locked takeoff without even knocking food options great especially nonmeat options entertainment options charging outlets plane warning certain scheduled routes eg guineabissau stop casablancapraia route
25,"✅Trip Verified|  We were very pleased with our flight. The plane was large, modern and comfortable, entertainment was excellent and the food was good. Our luggage were handled properly. I would fly with them again. The airport in Casablanca need some attention to cleanliness and facilities.",1/10,pleased flight plane large modern comfortable entertainment excellent food good luggage handled properly would fly airport casablanca need attention cleanliness facilities
26,"✅Trip Verified| The departure from HIA airport was very smooth, I had an 4kg extra in my suitcase and they were okay with it they didn’t charge anything. The cabin crew wasn’t that friendly, I asked them to bring me beverages more and they never bring it,  The touch screen at my seat wasn’t working.",9/10,departure hia airport smooth kg extra suitcase okay didnt charge anything cabin crew wasnt friendly asked bring beverages never bring touch screen seat wasnt working
27,✅Trip Verified|  Overall the experience wasn’t bad. Party of 3 adults actually booked on 2 separate reservations. Check in at Miami was easy. We did the 24 hr layover to experience Casablanca (which was the whole reason we chose the airline). We had confusion initially on if we would get our bags in CMN. The third person in our party had a late connection into Miami and her luggage said it was checked to CMN. Ours was checked to BCN. However her bag did not show up in CMN. Staff was nice and willing to help but their customer service was what I found to be typical for the country just lacking by American standards. Plane was clean. Food was good. The flight itself was actually a great experience. Better than most US airlines.,1/10,overall experience wasnt bad party adults actually booked separate reservations check miami easy hr layover experience casablanca whole reason chose airline confusion initially would get bags cmn third person party late connection miami luggage said checked cmn checked bcn however bag show cmn staff nice willing help customer service found typical country lacking american standards plane clean food good flight actually great experience better us airlines
28,"✅Trip Verified|  The check in counter is slow in Dubai. The flight was also delayed. The food portions are really good although you might find the bread hard. The cabin crew didn't answer call bells, they would =turn it off cleverly while passing by.",9/10,check counter slow dubai flight also delayed food portions really good although might find bread hard cabin crew didnt answer call bells would turn cleverly passing
29,Not Verified|  I appreciate travelling with Royal Air Maroc. The boarding has gone smooth. The staff is wonderful and very helpful. I recommend for any customer.,6/10,appreciate travelling royal air maroc boarding gone smooth staff wonderful helpful recommend customer
30,"Not Verified|  Worst airline I have ever traveled with. Delayed baggage on both ends. Delayed carry-on for a week on the way back with all my essentials in it. Broke one of my suitcases on the way back. Customer service keep lying and then stops responding to emails altogether. They ignored the reports and the proofs that were sent to them by email. Very disappointing experience, the staff were very rude and not understanding. They made me bring a toddler car seat to the plane door while I had a stroller and a baby with me. I have never done this with any airline. The car seats get checked in with the rest of the luggage in general. It is more than 10kg and you can't expect a person to carry that to the plane door in their hand. Please avoid this airline especially if you are traveling with kids.",4/10,worst airline ever traveled delayed baggage ends delayed carryon week way back essentials broke one suitcases way back customer service keep lying stops responding emails altogether ignored reports proofs sent email disappointing experience staff rude understanding made bring toddler car seat plane door stroller baby never done airline car seats get checked rest luggage general kg cant expect person carry plane door hand please avoid airline especially traveling kids
31,"✅Trip Verified| We got delayed in Accra for hours only to miss our connecting flight to London. Hence, I had to stay overnight in Casablanca. At Casablanca, the food was very poor, with no vegan options. The hostel room was dusty with dirty used bedsheets and dirty bathrooms as well. We could not find toothbrushes, toothpaste, or even towels at duty-free shops. Their staff were very extremely rude and were not remorseful. Some passengers amongst us had to stay for 2-3 nights because there were no vacancies on the next connecting flights to their respective destinations. And when we complained, instead of feeling remorseful and issuing apologies, they’d rather tell us to return to Ghana and join another airline. I missed a very important meeting, the very reason why I had to travel, hence my trip was in vain, thanks to the incompetence and inefficiency of the airline I chose! It’s been more than a month now, and no one has reached out to apologise for all the opportunities we lost because of their failed operations. There’s no way I’d advise anyone to choose Royal Air Maroc. In summary - it was a horrible experience.",2/10,got delayed accra hours miss connecting flight london hence stay overnight casablanca casablanca food poor vegan options hostel room dusty dirty used bedsheets dirty bathrooms well could find toothbrushes toothpaste even towels dutyfree shops staff extremely rude remorseful passengers amongst us stay nights vacancies next connecting flights respective destinations complained instead feeling remorseful issuing apologies theyd rather tell us return ghana join another airline missed important meeting reason travel hence trip vain thanks incompetence inefficiency airline chose month one reached apologise opportunities lost failed operations theres way id advise anyone choose royal air maroc summary horrible experience
32,"✅Trip Verified|  Madrid to Casablanca on 15th February 2023. I booked my flight online via a travel agency several months before travel and it was reassuring to have received a number of superbly informative emails from Royal Air Maroc before the flight. The airline enabled online check-in and this attention to detailed was mirrored elsewhere in the service provided. My one and only gripe was the abrupt woman on the check-in desk. She made no effort to even speak to me and roughly removed the protective cover to my passport and literally threw it under the counter at me. When I objected she turned her head and entered into a conversation with her uniformed colleagues. This rudeness is not acceptable and was entirely unnecessary too. the boarding process was well managed and the crew were well turned out and very professional. The interior of the 737-Max was tastefully decorated in a corporate and culturally reflective manner. Royal Air Maroc provided a nicely presented lunch box. The box itself was a work of art. It contained a small cake, sandwich and water and other items I do not recall. A route map was displayed and the cabin crew made themselves present. The lavatory was spotlessly clean. Although a relatively short flight the crew were a superb representation of their company and country. Landing and disembarkation were professionally handled and based on this experience, I would certainly use again. Royal Air Maroc put certain European airlines to shame. As mentioned, my one and only and justifiable gripe is the rude woman on the Madrid check-in desk.",1/10,madrid casablanca th february booked flight online via travel agency several months travel reassuring received number superbly informative emails royal air maroc flight airline enabled online checkin attention detailed mirrored elsewhere service provided one gripe abrupt woman checkin desk made effort even speak roughly removed protective cover passport literally threw counter objected turned head entered conversation uniformed colleagues rudeness acceptable entirely unnecessary boarding process well managed crew well turned professional interior max tastefully decorated corporate culturally reflective manner royal air maroc provided nicely presented lunch box box work art contained small cake sandwich water items recall route map displayed cabin crew made present lavatory spotlessly clean although relatively short flight crew superb representation company country landing disembarkation professionally handled based experience would certainly use royal air maroc put certain european airlines shame mentioned one justifiable gripe rude woman madrid checkin desk
33,"Not Verified|  Used to be a frequent flyer - will no longer travel with the RAM. They kept my refund for nearly two years now! During COVID time, one of my flights had an issue and I had to cancel the flight in May 2021. RAM policy was to issue a voucher for one year and if the voucher was not used, to issue a refund at the end of the one year period. In May 2022, I immediately applied for a refund of the voucher. We are now in January 2023 (20 months later) and I have yet to receive my refund, nearly two years later. RAM customer service has been very unhelpful. Every call I have been told that I must be patient and nothing could be done as they receive a large number of request. Withholding money from a customer for nearly two years is unacceptable and completely took away my trust in the ethic of the company. I will never travel again with RAM.",8/10,used frequent flyer longer travel ram kept refund nearly two years covid time one flights issue cancel flight may ram policy issue voucher one year voucher used issue refund end one year period may immediately applied refund voucher january months later yet receive refund nearly two years later ram customer service unhelpful every call told must patient nothing could done receive large number request withholding money customer nearly two years unacceptable completely took away trust ethic company never travel ram
34,"✅Trip Verified|  Worst airline experience I have had in a long time. No orderly boarding in Montreal or Casablanca, no use of the zones on the boarding passes, no clear announcements, no communication when flight delayed. So people formed their own line, a mile long, and stood there for an hour waiting. No guidance whatsoever from boarding crew. The cabin was spartan - no seatback entertainment. In fact, they didn't even use their own aircraft on the transatlantic flight, but a budget Spanish aircraft. The free hotel in Casablanca was a bad joke. The flight arrived late in the first place; we waited in the airport for hours to get transported all the way into the city (another hour). There were about 75 of us, all herded like cattle, all made to wait at each step of the way for all the other passengers to be processed. Upon arrival at the hotel, we waited another hour in the lobby while they processed us one by one. By the time we reached our room, it was 6 hours after the original landing time. On the return flight, boarding in Casablanca, it was raining heavily in Casablanca. Nevertheless, they herded us onto buses, then opened the bus doors in the pouring rain with no provision for cover. The first passengers who were foolish enough to try to board were completely drenched, because they reached the steps, and then the line moved so slowly to enter the aircraft and most had to stand in the pouring rain for 15 minutes until the finally reached the door. Completely soaked, half of the passengers. No cover, no guidance, no assistance, no staff anywhere in sight. The smart ones (me) waited in the bus for 15 minutes until the line disappeared, then ran onto the plane. Terrible treatment. The only reason I would ever fly RAM again is if the ticket is thousands of dollars cheaper than the alternatives.",1/10,worst airline experience long time orderly boarding montreal casablanca use zones boarding passes clear announcements communication flight delayed people formed line mile long stood hour waiting guidance whatsoever boarding crew cabin spartan seatback entertainment fact didnt even use aircraft transatlantic flight budget spanish aircraft free hotel casablanca bad joke flight arrived late first place waited airport hours get transported way city another hour us herded like cattle made wait step way passengers processed upon arrival hotel waited another hour lobby processed us one one time reached room hours original landing time return flight boarding casablanca raining heavily casablanca nevertheless herded us onto buses opened bus doors pouring rain provision cover first passengers foolish enough try board completely drenched reached steps line moved slowly enter aircraft stand pouring rain minutes finally reached door completely soaked half passengers cover guidance assistance staff anywhere sight smart ones waited bus minutes line disappeared ran onto plane terrible treatment reason would ever fly ram ticket thousands dollars cheaper alternatives
35,✅Trip Verified|  Had a terrible experience with loss of our luggage on this airline. We checked 5 bags and only received one on 12/26/2022. The other four bags are missing and the airline is incapable or unwilling to locate them. They have been unresponsive and incompetent in handling our claim. Do not recommend flying this airline.,1/10,terrible experience loss luggage airline checked bags received one four bags missing airline incapable unwilling locate unresponsive incompetent handling claim recommend flying airline
36,"✅Trip Verified|  On the trip into Marrakech, they lost part of our luggage and we had to keep making trips to airport because no one picked up the phone. On the way back, we had a 7 hr layover with a chance at a hotel but security at the airport told us we couldn’t go through international transit (flight got in at 11pm with connections at 7am). When we got to the RAM office, they told us only the international transit desk could provide the hotel. Then security wouldn’t let us into the terminal until 5am which was a real joy with a 4 yr old and a 6yr old. The man in the domestic accommodation office offered nothing at all and was completely dismissive. We were told we should have stayed in the terminal by numerous RAM personnel while airport security provided continuous conflicting information.",1/10,trip marrakech lost part luggage keep making trips airport one picked phone way back hr layover chance hotel security airport told us couldnt go international transit flight got pm connections got ram office told us international transit desk could provide hotel security wouldnt let us terminal real joy yr old yr old man domestic accommodation office offered nothing completely dismissive told stayed terminal numerous ram personnel airport security provided continuous conflicting information
37,"✅Trip Verified|  Scheduled departure 11:25 am, fully boarded 10 mins ahead of time and then we sat for a full two hours without so much as a single acknowledgment or announcement from the crew, no one walking around with water or any amenities and the attitude of the crew when asked is to merely shrug. The lack of any sense of customer service is truly appalling.  Never going to come anywhere near this airline again.",1/10,scheduled departure fully boarded mins ahead time sat full two hours without much single acknowledgment announcement crew one walking around water amenities attitude crew asked merely shrug lack sense customer service truly appalling never going come anywhere near airline
